,001,003,005,020,040,090,092,100,245,264,300,520,590,920,921,923,LDR
0,65277402,MePoLT,20250518141045.0,\\$a0674993144,\\$aMePoLT$cMePoLT$erda,\4$aLOEB-PA 6121 .A4 1935 v.1,\4$a871.01,"1\$aPoets, Minor Latin.","10$aMinor Latin Poets, Volume I, Publilius Syrus. Elegies on Maecenas. Grattius. Calpurnius Siculus. Laus Pisonis. Einsiedeln Eclogues. Aetna (Loeb Classical Library No. 284).","\1$aLoeb Classical Library (1934), Edition$b Revised, Hardcover, 432 pages,$c1934.",\\$a432  p.,"\\$aMinor Latin Poets, Volume I, Publilius Syrus. Elegies on Maecenas. Grattius. Calpurnius Siculus. Laus Pisonis. Einsiedeln Eclogues. Aetna (Loeb Classical Library No. 284) by Minor Latin Poets (1934)",,\\$aLoeb,,\\$aYour library,00831     2200193 i 4500
1,65277434,MePoLT,20250518141045.0,\\$a0674993241,\\$aMePoLT$cMePoLT$erda,\4$aLOEB-PA 6121 .A1 1935 v.1,\4$a180,1\$aEnnius.,"10$aRemains of Old Latin, Volume I (Loeb Classical Library No. 294).","\1$aLoeb Classical Library (1935), Edition$b Revised, Hardcover, 640 pages,$c1935.",\\$a640  p.,"\\$aRemains of Old Latin, Volume I (Loeb Classical Library No. 294) by Ennius (1935)",,\\$aLoeb,,\\$aYour library,00591     2200193 i 4500
2,65277465,MePoLT,20250518141046.0,\\$a0674993470,\\$aMePoLT$cMePoLT$erda,\4$aLOEB-PA 6121 .A1 1935 v.2,\4$a180,"1\$aAndronicus, Livius.","10$aRemains of Old Latin, Volume II, Livius Andronicus. Naevius. (Loeb Classical Library No. 314).","\1$bLoeb Classical Library,$c1936.",\\$a704  p.,"\\$aRemains of Old Latin, Volume II, Livius Andronicus. Naevius. (Loeb Classical Library No. 314) by Livius Andronicus (1936)",,\\$aLoeb,,\\$aYour library,00626     2200193 i 4500
3,65277526,MePoLT,20250518141046.0,\\$a0674991540,\\$aMePoLT$cMePoLT$erda,\4$aLOEB-PA 6139 .H7 1921 v.1,\4$a937.060922,"1\$aMagie, David.","10$aScriptores Historiae Augustae, Volume I (Loeb Classical Library No. 139).","\1$bLoeb Classical Library,$c1921.",\\$a544  p.,"\\$aScriptores Historiae Augustae, Volume I (Loeb Classical Library No. 139) by David Magie (1921)",,\\$aLoeb,,\\$aYour library,00579     2200193 i 4500
4,65277558,MePoLT,20250518141046.0,\\$a0674992903,\\$aMePoLT$cMePoLT$erda,\4$aLOEB-PA 6139 .H7 1921 v.3,\4$a937.060922,"1\$aMagie, David.","10$aScriptores Historiae Augustae, Volume III (The Two Valerians, the Two Gallieni, the Thirty Pretenders, the Deified Claudius, the Deified Aurelian, Tactitus, Pro )(Loeb Classical Library No. 263).","\1$bLoeb Classical Library,$c1932.",\\$a544  p.,"\\$aScriptores Historiae Augustae, Volume III (The Two Valerians, the Two Gallieni, the Thirty Pretenders, the Deified Claudius, the Deified Aurelian, Tactitus, Pro )(Loeb Classical Library No. 263) by David Magie (1932)",,\\$aLoeb,,\\$aYour library,00823     2200193 i 4500
5,65277654,MePoLT,20250518141046.0,\\$a0674993489,\\$aMePoLT$cMePoLT$erda,\4$aLOEB-PA 6203 .A2 1935 v.2,\4$a937,"1\$aMarcellinus, Ammianus.","10$aAmmianus Marcellinus: Roman History, Volume II, Books 20-26 (Loeb Classical Library No. 315) (English and Latin Edition).","\1$bLoeb Classical Library,$c1940.",\\$a704  p.,"\\$aAmmianus Marcellinus: Roman History, Volume II, Books 20-26 (Loeb Classical Library No. 315) (English and Latin Edition) by Ammianus Marcellinus (1940)",,\\$aLoeb,,\\$aYour library,00686     2200193 i 4500
6,65277667,MePoLT,20250518141046.0,\\$a0674993659,\\$aMePoLT$cMePoLT$erda,\4$aLOEB-PA 6203 .A2 1935 v.3,\4$a937,"1\$aMarcellinus, Ammianus.","10$aAmmianus Marcellinus: Roman History, Volume III, Books 27-31. Excerpta Valesiana (Loeb Classical Library No. 331) (English and Latin Edition).","\1$aLoeb Classical Library (1939), Edition$b Revised, Hardcover, 624 pages,$c1939.",\\$a624  p.,"\\$aAmmianus Marcellinus: Roman History, Volume III, Books 27-31. Excerpta Valesiana (Loeb Classical Library No. 331) (English and Latin Edition) by Ammianus Marcellinus (1939)",,\\$aLoeb,,\\$aYour library,00776     2200193 i 4500
7,65277720,MePoLT,20250518141051.0,\\$a0674990307,\\$aMePoLT$cMePoLT$erda,\4$aLOEB-PA 6220.5 .A6 1912 v.2,\4$a930,1\$aAugustine.,"10$aConfessions, Vol. 2: Books 9-13 (Loeb Classical Library, No. 27).","\1$bLoeb Classical Library,$c1912.",\\$a496  p.,"\\$aConfessions, Vol. 2: Books 9-13 (Loeb Classical Library, No. 27) by Augustine (1912)",,\\$aLoeb,,\\$aYour library,00553     2200193 i 4500
8,65277750,MePoLT,20250518141052.0,\\$a0674994558,\\$aMePoLT$cMePoLT$erda,\4$aLOEB-PA 622.5 .A9 1957 v.3,\4$a230,1\$aAugustine.,"10$aAugustine: City of God, Volume III, Books 8-11 (Loeb Classical Library No. 413).","\1$aLoeb Classical Library (1968), Edition$b abridged edition, Hardcover, 592 pages,$c1968.",\\$a592  p.,"\\$aAugustine: City of God, Volume III, Books 8-11 (Loeb Classical Library No. 413) by Augustine (1968)",,\\$aLoeb,,\\$aYour library,00639     2200193 i 4500
9,65277760,MePoLT,20250518141052.0,\\$a0674994566,\\$aMePoLT$cMePoLT$erda,\4$aLOEB-PA 622.5 .A9 1957 v.4,\4$a239.3,1\$aAugustine.,"10$aAugustine: City of God, Volume IV, Books 12-15 (Loeb Classical Library No. 414) (Bks.XII-XV v. 4).","\1$aLoeb Classical Library (1966), Edition$b abridged edition, Hardcover, 592 pages,$c1966.",\\$a592  p.,"\\$aAugustine: City of God, Volume IV, Books 12-15 (Loeb Classical Library No. 414) (Bks.XII-XV v. 4) by Augustine (1966)",,\\$aLoeb,,\\$aYour library,00677     2200193 i 4500
10,65277782,MePoLT,20250518141052.0,\\$a0674994590,\\$aMePoLT$cMePoLT$erda,\4$aLOEB-PA 622.5 .A9 1957 v.7,\4$a189,1\$aAugustine.,"10$aAugustine: City of God, Volume VII, Books 21-22 (Loeb Classical Library No. 417) (Bks.XXI-XXII v. 7).","\1$aLoeb Classical Library (1972), Edition$b abridged edition, Hardcover, 480 pages,$c1972.",\\$a461  p.,"\\$aAugustine: City of God, Volume VII, Books 21-22 (Loeb Classical Library No. 417) (Bks.XXI-XXII v. 7) by Augustine (1972)",,\\$aLoeb,,\\$aYour library,00681     2200193 i 4500
11,65277797,MePoLT,20250518141052.0,,\\$aMePoLT$cMePoLT$erda,\4$aLOEB-PA 6220.5 .A12 1953,\4$a281.4,"1\$aBaxter, James Houston (trans.).",10$aSt.Augustine Select Letters (Loeb Classical Library).,"\1$bWilliam Heinemann,$c1953.",,\\$aSt.Augustine Select Letters (Loeb Classical Library) by James Houston (trans.) Baxter (1953),,\\$aLoeb,,\\$aYour library,00513     2200169 i 4500
12,65277867,MePoLT,20250518141052.0,,\\$aMePoLT$cMePoLT$erda,\4$aLOEB-PA 6229 .B4 1930,\4$a870,"1\$aKing, Bede. Translated By J.E.","10$aBede: Historical Works, Volume I and II. Opera Historica. Loeb Classical Library.","\1$bHarvard University Press,$c1954.",,"\\$aBede: Historical Works, Volume I and II. Opera Historica. Loeb Classical Library by Bede. Translated By J.E. King (1954)",,\\$aLoeb$a2 vols,,\\$aYour library,00578     2200169 i 4500
13,65277877,MePoLT,20250518141052.0,\\$a0674990838,\\$aMePoLT$cMePoLT$erda,\4$aLOEB-PA 6231 .C8 1973,\4$a180,1\$aBoethius.,10$aBoethius: Theological Tractates. The Consolation of Philosophy (Loeb Classical Library).,"\1$aLoeb Classical Library (1973), Edition$b Reprint, Hardcover, 464 pages,$c1973.",\\$a464  p.,\\$aBoethius: Theological Tractates. The Consolation of Philosophy (Loeb Classical Library) by Boethius (1973),,\\$aLoeb,,\\$aYour library,00639     2200193 i 4500
14,65277939,MePoLT,20250518141052.0,\\$a0674994434,\\$aMePoLT$cMePoLT$erda,\4$aLOEB-PA 6235 .A2 1914 v.3,\4$a937,1\$aCaesar.,10$aCaesar: Alexandrian War. African War. Spanish War (Loeb Classical Library No. 402).,"\1$bLoeb Classical Library,$c1955.",\\$a464  p.,\\$aCaesar: Alexandrian War. African War. Spanish War (Loeb Classical Library No. 402) by Caesar (1955),,\\$aLoeb,,\\$aYour library,00581     2200193 i 4500
15,65277953,MePoLT,20250518141052.0,\\$a0674993136,\\$aMePoLT$cMePoLT$erda,\4$aLOEB-PA 6271 .C7 1935,\4$a630,1\$aCato.,10$aCato and Varro: On Agriculture (Loeb Classical Library No. 283).,"\1$aLoeb Classical Library (1934), Edition$b Revised, Hardcover, 576 pages,$c1934.",\\$a576  p.,\\$aCato and Varro: On Agriculture (Loeb Classical Library No. 283) by Cato (1934),,\\$aLoeb,,\\$aYour library,00583     2200193 i 4500
16,65278008,MePoLT,20250518141052.0,\\$a0434993042,\\$aMePoLT$cMePoLT$erda,\4$aLOEB-PA 6277 .C2 1935 v.2',\4$a610,1\$aCelsus.,"10$aCelsus: On Medicine, Vol. 2 (De Medicina, Vol. 2), Books 5-6 (Loeb Classical Library) (Bks.V-VI v. 2).","\1$bHarvard / Heinemann / Loeb Classical Library,$c1938.",\\$a358  p.,"\\$aCelsus: On Medicine, Vol. 2 (De Medicina, Vol. 2), Books 5-6 (Loeb Classical Library) (Bks.V-VI v. 2) by Celsus (1938)",,\\$aLoeb,,\\$aYour library,00642     2200193 i 4500
